ID,macid,Date_time,Acceleration_x,Acceleration_y,Acceleration_z,Acceleration_s,Frequency,Amplitude,sound,Temp_t1,Temp_t2,Temp_t3,emf,bv,an,device_id,node_firm,gateway_firm,radio_power,res,sen_type
1002,,10/18/2017 0:01:31,1.49,0.89,0.03,1.73,8.97,15.09,0,25.1,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:01:32,1.54,0.8,0.04,1.73,8.96,15.12,0,23,22.3,23,ffa3,015f,62,,,,,ffff,
1013,,10/18/2017 0:01:32,1.53,0.91,0.04,1.78,8.87,15.87,0,24,23.1,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:01:33,1.54,0.85,0.02,1.75,8.84,15.71,0,24.8,23.4,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:01:34,1.48,0.94,0.04,1.75,8.95,15.33,0,24.8,23.9,24,ffad,167,57,,,,,ffff,
1002,,10/18/2017 0:01:41,1.5,0.89,0.03,1.74,8.87,15.51,0,25.1,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:01:42,1.53,0.8,0.04,1.72,118.11,829.13,0,5708.8,5888,435.2,ffff,a301,62,,,,,01ff,
1009,,10/18/2017 0:01:43,1.52,0.84,0.02,1.73,8.86,15.46,0,24.8,23.4,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:01:44,1.5,0.95,0.04,1.77,8.87,15.78,0,24.8,23.9,24,ffad,167,57,,,,,ffff,
1002,,10/18/2017 0:01:51,1.52,0.9,0.03,1.76,8.83,15.84,0,25.1,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:01:52,1.55,0.81,0.05,1.74,8.87,15.51,0,22.9,22.4,23,ffa3,160,62,,,,,ffff,
1013,,10/18/2017 0:01:52,1.52,0.9,0.04,1.76,8.94,15.46,0,24.2,23.2,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:01:53,1.52,0.84,0.02,1.73,8.94,15.19,0,24.8,23.4,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:01:54,1.52,0.96,0.04,1.79,8.83,16.11,0,24.8,23.8,24,ffad,167,57,,,,,ffff,
1002,,10/18/2017 0:02:01,1.51,0.9,0.03,1.75,8.82,15.78,0,25.1,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:02:02,1.56,0.81,0.05,1.75,8.86,15.64,0,22.9,22.3,23,ffa3,160,62,,,,,ffff,
1013,,10/18/2017 0:02:02,1.52,0.9,0.04,1.76,8.92,15.51,0,24,23.1,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:02:03,1.54,0.84,0.02,1.75,8.87,15.61,0,24.8,23.3,24,ffab,165,61,,,,,ffff,
