1.5,0.89,0.03,1.74,8.99,15.1,25.1,0,0,59,d
1.54,0.81,0.04,1.74,8.79,15.8,23,22.3,23,62,t
1.51,0.89,0.04,1.75,8.9,15.5,24.1,23.1,24,59,s
1.54,0.84,0.02,1.75,8.86,15.64,24.9,23.5,24,61,o
1.47,0.93,0.04,1.73,8.99,15.02,24.8,23.9,24,57,h
1.49,0.89,0.03,1.73,8.87,15.43,25.2,0,0,59,d
1.52,0.79,0.04,1.71,8.95,14.98,23,22.2,23,62,t
1.52,0.9,0.04,1.76,9,15.25,24.2,23.1,24,59,s
1.51,0.83,0.02,1.72,9,14.89,24.8,23.4,24,61,o
1.5,0.95,0.04,1.77,8.85,15.85,24.8,23.9,24,57,h
1.5,0.89,0.03,1.74,9.01,15.03,25.1,0,0,59,d
1.54,0.81,0.04,1.74,8.82,15.7,22.9,22.5,23,62,t
1.5,0.89,0.04,1.74,8.88,15.49,24.2,23,24,59,s
1.53,0.84,0.02,1.74,8.83,15.66,24.8,23.5,24,61,o
1.47,0.94,0.04,1.74,8.99,15.1,24.8,23.8,24,57,h
1.49,0.88,0.03,1.73,8.9,15.33,25.2,0,0,59,d
1.52,0.8,0.04,1.71,8.91,15.12,22.9,22.2,23,62,t
1.51,0.9,0.04,1.75,9.02,15.09,24.1,23.2,24,59,s
1.5,0.83,0.02,1.71,8.98,14.88,24.8,23.4,24,61,o
1.5,0.95,0.04,1.77,8.83,15.92,24.8,23.9,24,57,h
1.49,0.89,0.03,1.73,9,14.99,25.2,0,0,59,d
1.54,0.81,0.04,1.74,8.78,15.84,23,22.4,23,62,t
1.51,0.9,0.04,1.75,8.9,15.5,24.1,23.1,24,59,s
1.54,0.84,0.02,1.75,8.84,15.71,24.9,23.4,24,61,o
1.47,0.93,0.04,1.73,8.98,15.05,24.8,23.8,24,57,h
1.49,0.89,0.03,1.73,8.87,15.43,25.2,0,0,59,d
1.52,0.8,0.06,1.71,8.94,15,23,22.3,23,62,t
1.52,0.9,0.05,1.76,9.01,15.22,24.1,23.1,24,59,s
1.51,0.83,0.02,1.72,8.99,14.93,24.9,23.4,24,61,o
1.5,0.95,0.04,1.77,8.84,15.9,24.8,23.7,24,57,h
1.5,0.89,0.03,1.74,8.99,15.1,25.2,0,0,59,d
1.54,0.81,0.05,1.74,8.82,15.7,23,22.4,23,62,t
1.51,0.89,0.04,1.75,8.89,15.54,24.1,23.1,24,59,s
1.54,0.84,0.02,1.75,8.84,15.71,24.8,23.4,24,61,o
1.48,0.94,0.04,1.75,8.99,15.19,24.8,23.9,24,57,h
1.52,0.79,0.05,1.71,8.96,14.95,23,22.5,23,62,t
1.53,0.91,0.04,1.78,8.79,16.16,24.1,23.2,24,59,s
1.52,0.83,0.02,1.73,9.01,14.95,24.9,23.4,24,61,o
1.49,0.95,0.04,1.76,8.86,15.73,24.8,23.9,24,57,h
1.51,0.9,0.03,1.75,8.82,15.78,25.1,0,0,59,d
1.55,0.81,0.04,1.74,8.83,15.66,23,22.5,23,62,t
1.5,0.89,0.04,1.74,8.96,15.2,24.2,23.1,24,59,s
1.53,0.84,0.02,1.74,8.92,15.34,24.9,23.4,24,61,o
1.5,0.95,0.04,1.77,8.81,15.99,24.8,23.9,24,57,h
1.49,0.89,0.03,1.73,8.97,15.09,25.1,0,0,59,d
1.54,0.8,0.04,1.73,8.96,15.12,23,22.3,23,62,t
1.53,0.91,0.04,1.78,8.87,15.87,24,23.1,24,59,s
1.54,0.85,0.02,1.75,8.84,15.71,24.8,23.4,24,61,o
1.48,0.94,0.04,1.75,8.95,15.33,24.8,23.9,24,57,h
1.5,0.89,0.03,1.74,8.87,15.51,25.1,0,0,59,d
1.53,0.8,0.04,1.72,118.11,829.13,5708.8,5888,435.2,62,t
1.52,0.84,0.02,1.73,8.86,15.46,24.8,23.4,24,61,o
1.5,0.95,0.04,1.77,8.87,15.78,24.8,23.9,24,57,h
1.52,0.9,0.03,1.76,8.83,15.84,25.1,0,0,59,d
1.55,0.81,0.05,1.74,8.87,15.51,22.9,22.4,23,62,t
1.52,0.9,0.04,1.76,8.94,15.46,24.2,23.2,24,59,s
1.52,0.84,0.02,1.73,8.94,15.19,24.8,23.4,24,61,o
1.52,0.96,0.04,1.79,8.83,16.11,24.8,23.8,24,57,h
1.51,0.9,0.03,1.75,8.82,15.78,25.1,0,0,59,d
1.56,0.81,0.05,1.75,8.86,15.64,22.9,22.3,23,62,t
1.52,0.9,0.04,1.76,8.92,15.51,24,23.1,24,59,s
1.54,0.84,0.02,1.75,8.87,15.61,24.8,23.3,24,61,o
1.5,0.95,0.04,1.77,8.84,15.9,24.7,23.9,24,57,h
1.5,0.89,0.03,1.74,8.95,15.25,25.1,0,0,59,d
1.55,0.81,0.04,1.74,8.85,15.58,23,22.3,23,62,t
1.53,0.91,0.04,1.78,8.86,15.91,24,23.2,24,59,s
1.55,0.85,0.03,1.76,8.82,15.87,24.8,23.3,24,61,o
1.53,0.8,0.04,1.72,118.11,829.13,5708.8,5888,4224,62,t
1.54,0.85,0.02,1.75,8.82,15.78,24.8,23.5,24,61,o
1.49,0.94,0.04,1.76,8.91,15.56,24.8,23.9,24,57,h
1.51,0.9,0.03,1.75,8.9,15.5,25.2,0,0,59,d
1.54,0.8,0.04,1.73,8.92,15.26,22.9,22.4,23,62,t
1.54,0.91,0.04,1.78,8.82,16.05,24.1,23.2,24,59,s
1.53,0.84,0.02,1.74,8.84,15.63,24.8,23.4,24,61,o
1.51,0.95,0.04,1.78,8.87,15.87,24.9,23.8,24,57,h
1.52,0.91,0.03,1.77,8.86,15.83,25.2,0,0,59,d
1.55,0.8,0.04,1.74,8.87,15.51,22.9,22.2,23,62,t
1.53,0.91,0.04,1.78,8.84,15.98,24.1,23.2,24,59,s
1.51,0.96,0.04,1.78,8.84,15.98,24.8,23.8,24,57,h
1.52,0.9,0.03,1.76,8.86,15.73,25.1,0,0,59,d
1.56,0.81,0.05,1.75,8.84,15.71,23,22.3,23,62,t
1.52,0.9,0.04,1.76,8.95,15.41,24.1,23.1,24,59,s
1.53,0.83,0.02,1.74,8.9,15.41,24.8,23.4,24,61,o
1.51,0.96,0.04,1.78,8.83,16.02,24.8,23.9,24,57,h
1.52,0.9,0.03,1.76,8.86,15.73,25.1,0,0,59,d
1.56,0.81,0.04,1.75,8.83,15.75,22.9,22.3,23,62,t
1.52,0.91,0.04,1.77,8.9,15.68,24.1,23.2,24,59,s
1.54,0.84,0.02,1.75,8.9,15.5,24.8,23.3,24,61,o
1.5,0.95,0.04,1.77,8.85,15.85,24.9,23.8,24,57,h
1.5,0.9,0.03,1.74,8.87,15.51,25.2,0,0,59,d
1.55,0.81,0.04,1.74,8.82,15.7,22.9,22.3,23,62,t
1.53,0.91,0.04,1.78,8.89,15.8,24.1,23,24,59,s
1.55,0.85,0.02,1.76,8.87,15.7,24.8,23.5,24,61,o
1.53,0.8,0.04,1.72,118.11,829.13,5708.8,5888,1484.8,62,t
1.55,0.85,0.02,1.76,8.85,15.77,24.7,23.4,24,61,o
1.49,0.94,0.04,1.76,8.92,15.51,24.8,23.9,24,57,h
1.51,0.89,0.03,1.75,8.9,15.5,25.1,0,0,59,d
1.53,0.79,0.04,1.72,8.92,15.16,22.9,22.3,23,62,t
1.54,0.92,0.04,1.79,8.86,15.99,24.1,23.1,24,59,s
1.53,0.84,0.02,1.74,8.87,15.51,24.7,23.5,24,61,o
1.5,0.95,0.04,1.77,8.87,15.78,24.8,23.8,24,57,h
1.52,0.9,0.03,1.76,8.84,15.8,25.1,0,0,59,d
1.55,0.8,0.04,1.74,8.89,15.44,23,22.3,23,62,t
1.53,0.91,0.04,1.78,8.87,15.87,24.1,23.1,24,59,s
1.53,0.83,0.02,1.74,8.91,15.37,24.7,23.4,24,61,o
1.52,0.96,0.04,1.79,8.86,15.99,24.7,23.8,24,57,h
1.53,0.9,0.02,1.77,8.84,15.9,25.1,0,0,59,d
1.56,0.81,0.04,1.75,8.87,15.61,23,22.3,23,62,t
1.52,0.91,0.04,1.77,8.89,15.71,24.1,23.1,24,59,s
1.53,0.83,0.02,1.74,8.92,15.34,24.7,23.4,24,61,o
1.51,0.96,0.04,1.78,8.84,15.98,24.7,23.8,24,57,h
1.52,0.91,0.03,1.77,8.82,15.97,25.1,0,0,59,d
1.56,0.81,0.04,1.75,8.85,15.68,23,22.3,23,62,t
1.52,0.9,0.04,1.76,8.92,15.51,24.1,23.1,24,59,s
1.54,0.84,0.02,1.75,8.87,15.61,24.8,23.4,24,61,o
1.5,0.95,0.04,1.77,8.84,15.9,24.8,23.8,24,57,h
1.5,0.9,0.03,1.74,8.95,15.25,25.2,0,0,59,d
1.54,0.8,0.04,1.73,8.86,15.46,23,22.3,23,62,t
1.53,0.91,0.04,1.78,8.86,15.91,24,23.1,24,59,s
1.55,0.85,0.02,1.76,8.82,15.87,24.8,23.4,24,61,o
1.53,0.79,0.04,1.72,8.96,15.03,22.9,22.3,23,62,t
1.54,0.92,0.04,1.79,8.81,16.18,24,23.2,24,59,s
1.54,0.84,0.02,1.75,8.81,15.83,24.8,23.4,24,61,o
1.49,0.95,0.04,1.76,8.89,15.63,24.8,23.8,24,57,h
1.51,0.9,0.03,1.75,8.86,15.64,25.2,0,0,59,d
1.54,0.79,0.04,1.73,8.86,15.46,23,22.2,23,62,t
1.52,0.91,0.04,1.77,8.97,15.43,24,23.1,24,59,s
1.51,0.83,0.02,1.72,8.96,15.03,24.8,23.4,24,61,o
1.51,0.96,0.04,1.78,8.82,16.05,24.8,23.8,24,57,h
1.5,0.89,0.03,1.74,8.82,15.7,25.2,0,0,59,d
1.55,0.8,0.04,1.74,8.79,15.8,23,22.3,23,62,t
1.51,0.9,0.04,1.75,8.92,15.43,24,23.1,24,59,s
1.54,0.84,0.02,1.75,8.87,15.61,24.8,23.4,24,61,o
1.48,0.94,0.04,1.75,8.99,15.19,24.8,23.8,24,57,h
1.52,0.79,0.05,1.71,8.94,15,23,22.3,23,62,t
1.53,0.91,0.04,1.78,8.82,16.05,24.1,23.1,24,59,s
1.52,0.84,0.02,1.73,8.97,15.09,24.8,23.4,24,61,o
1.49,0.95,0.04,1.76,8.88,15.66,24.9,23.8,24,57,h
1.51,0.9,0.03,1.75,8.8,15.85,25.1,0,0,59,d
1.55,0.81,0.04,1.74,8.83,15.66,22.9,22.4,23,62,t
1.5,0.89,0.04,1.74,8.96,15.2,24.1,23.1,24,59,s
1.52,0.84,0.02,1.73,8.88,15.39,24.8,23.4,24,61,o
1.5,0.95,0.04,1.77,8.8,16.04,24.8,23.8,24,57,h
1.48,0.88,0.03,1.72,8.98,14.96,25.1,0,0,59,d
1.52,0.79,0.04,1.71,8.98,14.88,22.9,22.3,23,62,t
1.53,0.91,0.04,1.78,8.82,16.05,24.1,23,24,59,s
1.54,0.85,0.02,1.75,8.79,15.9,24.8,23.4,24,61,o
1.48,0.94,0.04,1.75,8.92,15.43,24.8,23.8,24,57,h
1.51,0.9,0.03,1.75,8.85,15.68,25.1,0,0,59,d
1.54,0.8,0.04,1.73,8.85,15.5,23,22.5,23,62,t
1.51,0.9,0.04,1.75,8.99,15.19,24.1,23.1,24,59,s
1.51,0.83,0.02,1.72,8.95,15.06,24.8,23.4,24,61,o
1.5,0.95,0.04,1.77,8.8,16.04,24.8,23.9,24,57,h
1.49,0.88,0.03,1.73,9,14.99,25.1,0,0,59,d
1.53,0.79,0.05,1.72,9.01,14.86,23,22.4,23,62,t
1.52,0.91,0.04,1.77,8.87,15.78,24.1,23.1,24,59,s
1.54,0.84,0.02,1.75,8.83,15.75,24.8,23.4,24,61,o
1.48,0.94,0.04,1.75,8.96,15.29,24.8,23.8,24,57,h
1.5,0.89,0.03,1.74,8.87,15.51,25.1,0,0,59,d
1.53,0.8,0.04,1.72,8.9,15.23,23,22.4,23,62,t
1.52,0.9,0.03,1.76,8.98,15.32,24.1,23.2,24,59,s
1.51,0.83,0.02,1.72,8.99,14.93,24.8,23.3,24,61,o
1.51,0.95,0.04,1.78,8.84,15.98,24.8,23.9,24,57,h
1.51,0.9,0.03,1.75,8.8,15.85,25.1,0,0,59,d
1.55,0.81,0.04,1.74,8.83,15.66,23,22.3,23,62,t
1.51,0.9,0.04,1.75,8.91,15.47,24.1,23.1,24,59,s
1.53,0.84,0.03,1.74,8.86,15.56,24.8,23.4,24,61,o
1.49,0.95,0.04,1.76,8.96,15.39,24.8,23.7,24,57,h
1.49,0.89,0.03,1.73,8.96,15.12,25.1,0,0,59,d
1.53,0.8,0.04,1.72,8.97,15,23,22.4,23,62,t
1.54,0.91,0.04,1.78,8.82,16.05,24.1,23.2,24,59,s
1.54,0.85,0.02,1.75,8.8,15.85,24.8,23.4,24,61,o
1.48,0.94,0.04,1.75,8.92,15.43,24.8,23.8,24,57,h
1.51,0.9,0.03,1.75,8.87,15.61,25.1,0,0,59,d
1.54,0.8,0.04,1.73,8.87,15.43,23,22.4,23,62,t
1.52,0.9,0.04,1.76,8.98,15.32,24.1,23.1,24,59,s
1.52,0.83,0.02,1.73,8.98,15.05,24.8,23.4,24,61,o
1.51,0.96,0.04,1.78,8.83,16.02,24.8,23.8,24,57,h
1.51,0.9,0.03,1.75,8.82,15.78,25.1,0,0,59,d
1.55,0.81,0.04,1.74,8.8,15.77,23,22.2,23,62,t
1.53,0.84,0.02,1.74,8.9,15.41,24.8,23.3,24,61,o
1.5,0.95,0.04,1.77,8.97,15.43,24.9,24,24,57,h
1.49,0.89,0.03,1.73,8.96,15.12,25.1,0,0,59,d
1.53,0.8,0.04,1.72,8.96,15.03,23,22.4,23,62,t
1.54,0.91,0.04,1.78,8.86,15.91,24.1,23.1,24,59,s
1.55,0.85,0.02,1.76,8.85,15.77,24.7,23.4,24,61,o
1.48,0.94,0.04,1.75,8.94,15.36,24.9,23.8,24,57,h
1.5,0.89,0.03,1.74,8.87,15.51,25.2,0,0,59,d
1.53,0.8,0.04,1.72,8.91,15.2,23,22.3,23,62,t
1.53,0.91,0.04,1.78,8.84,15.98,24.1,23.1,24,59,s
1.53,0.84,0.02,1.74,8.85,15.58,24.7,23.4,24,61,o
1.5,0.95,0.04,1.77,8.87,15.78,24.9,23.8,24,57,h
1.52,0.91,0.03,1.77,8.8,16.04,25.2,0,0,59,d
1.55,0.81,0.04,1.74,8.84,15.63,23,22.3,23,62,t
1.51,0.89,0.04,1.75,8.96,15.29,24.1,23,24,59,s
1.52,0.83,0.02,1.73,8.92,15.26,24.8,23.4,24,61,o
1.5,0.95,0.04,1.77,8.8,16.04,24.8,23.8,24,57,h
1.49,0.89,0.03,1.73,9,14.99,25.2,0,0,59,d
1.53,0.8,0.04,1.72,8.98,14.96,23.1,22.5,23,62,t
1.53,0.91,0.04,1.78,8.84,15.98,24.1,23.1,24,59,s
1.55,0.85,0.02,1.76,8.81,15.91,24.8,23.4,24,61,o
1.48,0.94,0.04,1.75,8.96,15.29,24.8,23.9,24,57,h
1.5,0.89,0.03,1.74,8.89,15.44,25.1,0,0,59,d
1.53,0.8,0.04,1.72,8.89,15.27,23,22.3,23,62,t
1.53,0.9,0.04,1.77,9,15.33,24.1,23.1,24,59,s
1.52,0.84,0.02,1.73,9,14.99,24.8,23.3,24,61,o
1.5,0.95,0.04,1.77,8.85,15.85,24.8,24,24,57,h
1.52,0.9,0.03,1.76,8.82,15.87,25.1,0,0,59,d
1.55,0.81,0.04,1.74,8.8,15.77,23,22.3,23,62,t
1.51,0.89,0.03,1.75,8.92,15.43,24.1,23.1,24,59,s
1.53,0.84,0.02,1.74,8.92,15.34,24.8,23.4,24,61,o
1.49,0.95,0.04,1.76,9.01,15.22,24.8,23.8,24,57,h
1.49,0.89,0.03,1.73,8.96,15.12,25.1,0,0,59,d
1.52,0.79,0.04,1.71,8.98,14.88,22.9,22.4,23,62,t
1.53,0.91,0.03,1.78,8.83,16.02,24.1,23.2,24,59,s
1.54,0.85,0.02,1.75,8.82,15.78,24.8,23.3,24,61,o
1.48,0.94,0.04,1.75,8.92,15.43,24.8,23.8,24,57,h
1.51,0.9,0.03,1.75,8.84,15.71,25.1,0,0,59,d
1.54,0.81,0.04,1.74,8.87,15.51,23,22.4,23,62,t
1.51,0.9,0.04,1.75,8.98,15.23,24.1,23.2,24,59,s
1.51,0.83,0.03,1.72,8.97,15,24.8,23.4,24,61,o
1.51,0.96,0.04,1.78,8.82,16.05,24.8,23.8,24,57,h
1.5,0.89,0.03,1.74,9,15.08,25.1,0,0,59,d
1.54,0.8,0.04,1.73,8.83,15.57,23,22.3,23,62,t
1.52,0.9,0.04,1.76,8.86,15.73,24.1,23.1,24,59,s
1.54,0.85,0.02,1.75,8.83,15.75,24.8,23.3,24,61,o
1.48,0.94,0.04,1.75,8.98,15.23,24.8,23.7,24,57,h
1.53,0.8,0.04,1.72,118.11,832.75,5734.4,5888,3328,62,t
1.53,0.84,0.02,1.74,8.98,15.13,24.8,23.3,24,61,o
1.5,0.95,0.04,1.77,8.87,15.78,24.8,23.8,24,57,h
1.52,0.9,0.03,1.76,8.84,15.8,25.1,0,0,59,d
1.55,0.81,0.04,1.74,8.81,15.73,23,22.3,23,62,t
1.5,0.89,0.04,1.74,8.96,15.2,24.1,23,24,59,s
1.5,0.95,0.04,1.77,8.81,15.99,24.7,23.8,24,57,h
1.49,0.89,0.03,1.73,8.98,15.05,25.1,0,0,59,d
1.53,0.8,0.04,1.72,9,14.89,23,22.3,23,62,t
1.53,0.91,0.03,1.78,8.86,15.91,24.1,23.1,24,59,s
1.55,0.85,0.02,1.76,8.85,15.77,24.8,23.4,24,61,o
1.48,0.94,0.04,1.75,8.96,15.29,24.8,23.8,24,57,h
1.5,0.89,0.03,1.74,8.87,15.51,25.1,0,0,59,d
1.53,0.8,0.04,1.72,8.91,15.2,23,22.5,23,62,t
1.52,0.9,0.03,1.76,8.83,15.84,24,23.1,24,59,s
1.52,0.84,0.02,1.73,8.97,15.09,24.7,23.4,24,61,o
1.5,0.95,0.04,1.77,8.84,15.9,24.8,23.8,24,57,h
1.51,0.9,0.03,1.75,8.8,15.85,25.1,0,0,59,d
1.55,0.81,0.04,1.74,8.82,15.7,23,22.4,23,62,t
1.51,0.89,0.04,1.75,8.9,15.5,24,23.2,24,59,s
1.53,0.84,0.02,1.74,8.87,15.51,24.7,23.4,24,61,o
1.48,0.94,0.04,1.75,8.99,15.19,24.8,23.7,24,57,h
1.48,0.88,0.03,1.72,8.96,15.03,25.1,0,0,59,d
1.52,0.79,0.04,1.71,8.94,15,23,22.4,23,62,t
1.53,0.84,0.02,1.74,8.79,15.8,24.7,23.3,24,61,o
1.49,0.94,0.04,1.76,8.88,15.66,24.8,23.8,24,57,h
1.51,0.9,0.03,1.75,8.84,15.71,25.1,0,0,59,d
1.54,0.81,0.05,1.74,8.8,15.77,23,22.3,23,62,t
1.5,0.89,0.03,1.74,8.94,15.27,24.1,23,24,59,s
1.52,0.83,0.02,1.73,8.94,15.19,24.8,23.3,24,61,o
1.49,0.94,0.04,1.76,9.02,15.17,24.8,23.9,24,57,h
1.48,0.88,0.03,1.72,8.96,15.03,25.1,0,0,59,d
1.51,0.79,0.04,1.7,8.95,14.89,23,22.5,23,62,t
1.52,0.9,0.03,1.76,8.81,15.91,24.1,23.1,24,59,s
1.53,0.84,0.02,1.74,8.81,15.73,24.8,23.3,24,61,o
1.48,0.94,0.04,1.75,8.88,15.57,24.8,23.8,24,57,h
1.5,0.89,0.03,1.74,8.79,15.8,25.1,0,0,59,d
1.53,0.8,0.04,1.72,8.81,15.54,23,22.5,23,62,t
1.5,0.89,0.03,1.74,8.9,15.41,24.1,23,24,59,s
1.52,0.83,0.02,1.73,8.88,15.39,24.7,23.4,24,61,o
1.47,0.94,0.05,1.74,9,15.08,24.8,23.7,24,57,h
1.53,0.8,0.04,1.72,8.87,15.34,23.1,22.4,23,62,t
1.5,0.89,0.04,1.74,9.02,15,24.1,23,24,59,s
1.5,0.82,0.02,1.7,9,14.72,24.8,23.3,24,61,o
1.49,0.95,0.04,1.76,8.82,15.87,24.8,23.8,24,57,h
1.48,0.87,0.03,1.71,9.01,14.78,25.1,0,0,59,d
1.51,0.79,0.05,1.7,8.98,14.79,23.1,22.4,23,62,t
1.52,0.9,0.03,1.76,8.85,15.77,24.1,23.1,24,59,s
1.53,0.84,0.02,1.74,8.83,15.66,24.7,23.4,24,61,o
1.48,0.94,0.04,1.75,8.94,15.36,24.8,23.9,24,57,h
1.5,0.89,0.03,1.74,8.8,15.77,25.1,0,0,59,d
1.53,0.8,0.04,1.72,8.82,15.51,23.1,22.3,23,62,t
1.5,0.89,0.03,1.74,8.92,15.34,24.1,23.1,24,59,s
1.52,0.83,0.02,1.73,8.9,15.33,24.7,23.3,24,61,o
1.48,0.94,0.04,1.75,9.02,15.09,24.8,23.8,24,57,h
1.48,0.88,0.03,1.72,8.95,15.06,25.2,0,0,59,d
1.52,0.8,0.05,1.71,8.89,15.17,23.1,22.5,23,62,t
1.51,0.9,0.04,1.75,9.02,15.09,24.2,23.1,24,59,s
1.52,0.83,0.02,1.73,9.03,14.89,24.8,23.3,24,61,o
1.49,0.95,0.04,1.76,8.84,15.8,24.8,23.7,24,57,h
1.5,0.89,0.03,1.74,8.81,15.73,25.2,0,0,59,d
1.53,0.8,0.04,1.72,9.02,14.84,23,22.4,23,62,t
1.51,0.9,0.03,1.75,8.91,15.47,24,23,24,59,s
1.53,0.84,0.02,1.74,8.89,15.44,24.8,23.3,24,61,o
1.47,0.93,0.04,1.73,9.01,14.95,24.8,23.7,24,57,h
1.49,0.88,0.03,1.73,8.9,15.33,25.2,0,0,59,d
1.53,0.8,0.05,1.72,8.9,15.23,23.1,22.3,23,62,t
1.52,0.9,0.03,1.76,8.98,15.32,24.1,23.1,24,59,s
1.52,0.84,0.02,1.73,9,14.99,24.8,23.3,24,61,o
1.5,0.95,0.05,1.77,8.84,15.9,24.8,23.7,24,57,h
1.51,0.9,0.03,1.75,8.79,15.9,25.2,0,0,59,d
1.54,0.8,0.04,1.73,8.82,15.6,23.1,22.5,23,62,t
